Adrresse,Prix,Ville,Region,Chambres,Salles de bain,Salles d'eau,Etages,Aire habitable,Taille terrain,Taxes municipales,Taxes scolaires,Électricité,Assurances
6e Avenue,699 000 $,St-Armand,Estrie,,,,,,"56,277 ","1 074,00 $","101,00 $",,
"524-526-528-530, rue Saint-Étienne",699 000 $,L'Assomption,Lanaudière,6,4,,,,"14,638 ","5 376,52 $","342,02 $","155,00 $","3 210,00 $"
"52, rue Victor - L'Alzari - Par construction Cousineau",699 000 $,St-Hippolyte,Laurentides,3,1,1,2,1 767 ,33 000 ,,,,
"581, avenue de Saint-Georges",699 000 $,Shawinigan (St-Georges-De-Champlain),Mauricie,5,,,,,"35,200 ","12 746,00 $",,,
"1509-1228, rue des Bassins",699 000 $,Griffintown,Montréal / l'Île,2,2,,1,860 ,,"4 440,00 $","613,00 $","1 440,00 $","480,00 $"
"544-546-548, rue Mercier",699 000 $,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,3,1,,,,"2,625 ","3 967,92 $","474,37 $",,"1 691,15 $"
"2535-2537-2539, chemin du Petit-Village",699 000 $,Beauport,Québec Rive-Nord,6,3,,,,"6,985 ","3 941,00 $",,,"2 500,00 $"
"4196, avenue Northcliffe",699 000 $,Côte-des-Neiges / Notre-Dame-de-Grâce,Montréal / l'Île,2,1,1,1,"1,300 ",,"2 452,58 $","307,81 $","411,00 $","1 779,24 $"
"292-294, 16e Avenue",699 000 $,Deux-Montagnes,Laurentides,6,3,,,,"4,427.20 ","5 004,88 $","377,38 $",,"54,66 $"
"1464-1466, rue Albert",699 000 $,Ste-Julienne,Lanaudière,13,7,,,,"8,794.11 ","9 738,00 $","472,00 $","1 561,00 $","4 805,00 $"
"178, Park Road",699 000 $,Beaconsfield / Baie-D'Urfé,Montréal / l'Île,4,2,,1,1 200 ,14 729 ,"3 928,00 $","487,02 $","500,00 $",
"505, rue des Bernaches",699 000 $,St-Lambert-De-Lauzon,Chaudière-Appalaches,6,3,2,1,"2,198 ","34,578 ","4 340,00 $","500,00 $","5 000,00 $","1 800,00 $"
"1001-235, rue Peel",699 000 $,Griffintown,Montréal / l'Île,2,2,,1,976 ,,"4 855,84 $","574,92 $",,
"5937, route Marie-Victorin",699 000 $,Contrecoeur,Montérégie (Rive-Sud Montréal),3,2,2,2,"3,401 ","8,798 ",,,,
"2009-2000, boulevard René-Lévesque Ouest",699 000 $,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,2,1,,1,761 ,,"4 000,00 $","800,00 $","900,00 $",
"1570, rue Migeon",699 000 $,Terrebonne (Terrebonne),Lanaudière,3,1,1,2,"2,176 ","8,490 ","3 750,00 $","913,00 $",,
"4666, avenue de Lorimier",699 000 $,Le Plateau-Mont-Royal,Montréal / l'Île,5,1,,1,"1,334 ",,"3 064,52 $","359,00 $","600,00 $",
"7, chemin du Ruisselet",699 000 $,Val-Des-Monts,Outaouais,3,3,,2,"2,400 ","71,235.56 ","2 900,00 $","500,00 $","1 200,00 $","1 700,00 $"
"2936-2938, chemin Bedford",699 000 $,Côte-des-Neiges / Notre-Dame-de-Grâce,Montréal / l'Île,2,2,,,,25.00x110.01 ,"3 439,00 $","707,00 $",,
"335-5125, chemin du Mont-Orford",699 000 $,Orford,Estrie,3,2,,1,"1,250 ",,,,,"343,00 $"
"369/365, rue Merry Nord",699 000 $,Magog,Estrie,,,,,,"11,408.67 ",,"205,00 $",,"4 612,00 $"
"3765, rue Sainte-Catherine Est",699 000 $,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,2,2,,2,"2,265 ",,"3 421,32 $","404,48 $",,"2 900,00 $"
"20, place de la Cartonnerie",699 000 $,St-Jérôme (Lafontaine),Laurentides,5,2,1,2,1 800 ,9 045 ,"4 134,00 $","349,16 $","3 500,00 $",
"11813, rue Marie-Anne-Lavallée",699 000 $,Ahuntsic / Cartierville,Montréal / l'Île,4,1,1,2,"1,415 ","1,580 ","3 621,39 $","475,00 $","1 150,00 $","800,00 $"
"1680, rue Leclair",699 000 $,Verdun,Montréal / l'Île,3,2,1,2,950 ,4 092 ,"3 683,07 $","456,81 $",,
"121, rue Berrouard",699 000 $,Beauport,Québec Rive-Nord,6,2,3,,,"8,748 ","5 194,62 $","499,60 $",,
"601-250, chemin de la Pointe-Sud",699 000 $,L'Ile Des Soeurs,Montréal / l'Île,2,2,,1,1 066.70 ,,"4 074,74 $","506,34 $",,
"3863, rue des Pervenches",699 000 $,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),4,2,,1,"1,716 ","4,581 ","2 718,00 $","495,00 $","1 620,00 $",
"1001-1288, avenue des Canadiens-de-Montréal",699 000 $,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,1,1,,1,,,,,,
"800, rue des Cascades",699 000 $,Ste-Catherine,Montérégie (Rive-Sud Montréal),4,2,,1,1 102.2 ,8 845 ,"3 976,40 $","338,64 $","2 330,00 $","1 200,00 $"
rue d'Ambre - Par Pür Urbain Candiac,699 000 $,Candiac,Montérégie (Rive-Sud Montréal),2,1,1,3,"1,730 ",,,,,
"49, rue Arthur-Croteau",699 000 $,Gatineau (Aylmer),Outaouais,5,3,,1,"1,434 ","5,545 ","2 760,00 $","205,00 $","3 000,00 $","1 608,00 $"
"586, chemin Jack Rabbit",699 000 $,Piedmont,Laurentides,4,2,,2,"1,674 ","24,979 ","2 939,00 $","353,00 $",,
"1007-5500, place de Jumonville",699 000 $,Rosemont / La Petite Patrie,Montréal / l'Île,2,2,,1,"1,357 ",,"4 018,19 $","497,36 $",,
"133, rue du Petit-Tyrol",699 000 $,Ste-Agathe-Des-Monts,Laurentides,05,3,1,2,3 487.51 ,21 625.77 ,"4 027,00 $","329,00 $","3 311,00 $","2 207,00 $"
"162, chemin du Ruisseau-des-Noyers",699 000 $,St-Jean-sur-Richelieu (L'Acadie),Montérégie (Rive-Sud Montréal),4,1,3,1,,"16,748.64 ","3 300,00 $","426,55 $",,
"50, rue de la Renaissance",699 000 $,Blainville,Laurentides,4,2,1,2,"1,402 ","6,094 ",,,,
"8686, rue des Belettes",699 000 $,Charlesbourg,Québec Rive-Nord,4,1,,2,1 595 ,9 669 ,"4 806,47 $","482,67 $","2 940,00 $","840,00 $"
"834, chemin du Grand-Bernier Sud",699 000 $,St-Jean-sur-Richelieu (St-Jean-sur-Richelieu),Montérégie (Rive-Sud Montréal),3,1,1,2,"2,014 ","46,200 ","2 388,68 $","352,52 $","1 626,00 $","1 267,00 $"
"10163, rue de Lille",699 000 $,Ahuntsic / Cartierville,Montréal / l'Île,3,2,,2,1 287.97 ,15x25 ,"4 486,13 $","515,51 $","1 350,00 $","600,00 $"
"100, rue de Chauvenet",699 000 $,Morin-Heights,Laurentides,3,3,1,2,,"67,980 ",,,,
"22-1266, rue Pauline-Julien",699 000 $,Le Plateau-Mont-Royal,Montréal / l'Île,2,1,,1,"1,017.19 ",,"3 400,56 $","419,25 $",,
"5083, rue Fraser",699 000 $,Pierrefonds / Roxboro,Montréal / l'Île,4,2,,1,"1,054.86 ",100.00x60.01 ,"1 439,90 $","337,82 $",,
"3124, rue Beach",699 500 $,Rawdon,Lanaudière,3,1,1,1,"1,360 ","10,000 ","1 559,00 $","404,00 $","2 400,00 $",
"151, rang de l'Église",699 500 $,St-Liguori,Lanaudière,12,2,10,2,"3,170 ","57,367 ","2 357,00 $","400,00 $",,
"487-489, rue Chauvin",699 500 $,Pont-Viau,Laval,8,3,,,,"5,009 ","4 547,94 $","458,43 $",,"2 172,00 $"
"280, 3e rue du Faisant-Bleu",699 500 $,St-Ambroise-De-Kildare,Lanaudière,5,2,,2,"2,624.24 ","48,514.02 ","3 555,16 $","270,10 $","500,00 $","383,00 $"
"43, chemin du Petit-Pont",699 800 $,St-Adolphe-D'Howard,Laurentides,3,2,,1,1 484 ,112 062 ,"3 777,00 $","401,00 $",,
"2246, rue des Carouges",699 900 $,St-Nicolas,Québec Rive-Sud (Lévis),4,2,,2,409 ,"45,000 ","4 200,00 $","600,00 $","4 700,00 $",
"PH1508-12025, rue de Blois",699 900 $,Mirabel (Domaine-Vert Nord),Laurentides,3,2,,1,"1,397 ",,,,,
"1960, chemin des Patriotes",699 900 $,St-Ours,Montérégie (Rive-Sud Montréal),3,1,1,2,"1,438 ","94,797.59 ","2 370,04 $","294,16 $","1 157,28 $",
"103, chemin Barrette",699 900 $,Campbells Bay,Outaouais,3,3,1,2,"1,400 ","48,390.24 ","2 008,60 $","790,00 $",,"2 748,00 $"
"1681-1683, avenue Bureau",699 900 $,Le Plateau-Mont-Royal,Montréal / l'Île,3,2,,,,1 252.92 ,"3 432,02 $","422,06 $",,"1 152,13 $"
"35, 111e avenue - Modèle Le Chadwick - Par Construction Cousineau",699 900 $,St-Hippolyte,Laurentides,3,1,1,2,"2,054 ","62,000 ",,,,
"14007, rue Desjardins",699 900 $,Mirabel (St-Janvier),Laurentides,4,1,1,2,"2,400 ","6,175 ","2 130,16 $","386,66 $","875,00 $","974,00 $"
"43, rue de la Cordée",699 900 $,Blainville,Laurentides,6,3,2,2,2 861 ,31 011 ,"4 249,00 $","396,00 $","5 349,00 $",
"319, rue Alexandre",699 900 $,Pont-Viau,Laval,6,2,,,,"5,350 ","3 574,69 $","358,68 $","2 173,00 $","1 028,96 $"
"215-219, boulevard René-Lévesque Ouest",699 900 $,Montcalm,Québec Rive-Nord,4,1,1,,,"2,045.14 ",,,,
"4832, rue Philippe Parizeau",699 900 $,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),5,2,1,2,"1,440 ","5,280 ","3 547,00 $","372,00 $","2 940,00 $","1 200,00 $"
"28, 35e Avenue",699 900 $,Bois-Des-Filion,Laurentides,4,2,,1,"1,400 ","4,500 ",,,,
"1, croissant Jacques-Neveu",699 900 $,Terrebonne (Lachenaie),Lanaudière,3,2,,3,1 910 ,7 656 ,"3 994,15 $","376,12 $","1 600,00 $","960,00 $"
"1030, rue Lauréat-Vallière",699 900 $,Cap-Rouge,Québec Rive-Nord,3,2,1,2,2 172 ,10 150 ,"4 000,00 $","1 000,00 $","350,00 $",
"1441, rue de Dolbeau",699 900 $,Gatineau (Gatineau),Outaouais,4,2,,1,"1,050 ","9,841.44 ","3 288,00 $","246,00 $","3 000,00 $","1 200,00 $"
rue Gilles-Tremblay - LINQ - Par Les Habitations Sylvain Ménard,699 900 $,Vaudreuil-Dorion,Montérégie Ouest,3,1,1,3,2 215 ,,,,,
"1221-1223, rue de la Galène",699 900 $,Charlesbourg,Québec Rive-Nord,9,3,,,,"8,500 ",,,,
"1254, rue Richard",699 900 $,Blainville,Laurentides,4,1,1,2,"1,757.64 ","5,732.86 ","3 242,46 $","411,07 $","4 000,00 $","1 222,00 $"
"4244, rue Charles-Bédard",699 900 $,Charlesbourg,Québec Rive-Nord,8,5,,,,"9,982.13 ","6 124,51 $","426,67 $","791,15 $","1 983,80 $"
"86, Boul. Lacombe",699 900 $,Repentigny (Le Gardeur),Lanaudière,4,2,,1,950 ,19 623 ,"3 703,00 $","280,00 $","2 500,00 $",
Rue du Geai-Bleu - Modèle Shanghai - Par Construction Briand,699 900 $,St-Jérôme (St-Jérôme),Laurentides,3,2,,1,1 083 ,16 000 ,,,,
"3361, avenue Bourassa",699 900 $,Boisbriand,Laurentides,2,1,1,1,1 209 ,5 997 ,"3 119,98 $","316,83 $","3 450,00 $","1 278,00 $"
"55, Edward sud",699 900 $,Chateauguay,Montérégie (Rive-Sud Montréal),3,1,1,2,1 474 ,7 399.1 ,,,,
"412, rue Alexandre",699 999 $,Pont-Viau,Laval,5,2,,1,"1,080 ","8,000 ","2 400,00 $","500,00 $","1 000,00 $","500,00 $"
"109, avenue Saint-François",699 999 $,St-Pie,Montérégie (Rive-Sud Montréal),5,2,1,1,"2,239 ","22,771 ",,,,
"138, rue de la Rivière",699 999 $,Bromont,Estrie,3,1,,1,"1,337 ","61,397 ","2 937,00 $","341,00 $",,
"101-7400, boulevard St-Laurent",700 000 $,Villeray / St-Michel / Parc-Extension,Montréal / l'Île,2,2,1,2,"1,005 ",,"2 126,79 $","859,13 $",,
"45-45A, rue Labelle",700 000 $,Gatineau (Hull),Outaouais,3,2,,,,"3,600 ","2 877,00 $","417,00 $",,"831,67 $"
"4760, rue de Boucherville",700 000 $,Terrebonne (Terrebonne),Lanaudière,3,2,,1,"1,225.04 ","6,000 ","2 668,00 $","750,00 $","2 483,00 $","1 125,00 $"
"3056-3060, rue Sainte-Émilie",700 000 $,Jonquière (Arvida),Saguenay-Lac-Saint-Jean,8,2,1,1,"3,959.11 ","14,415.08 ","4 002,10 $","995,84 $",,
"781, montée de l'Église",700 000 $,St-Colomban,Laurentides,,,,,,"1,150,000 ","1 200,00 $",,,
"1641, rue Mcguire",700 000 $,Ste-Sophie,Laurentides,4,2,1,2,"1,837 ","86,873.37 ","2 560,00 $","351,51 $","4 089,72 $","1 472,00 $"
"1924-1926-1928, avenue du Monument",700 000 $,Beauport,Québec Rive-Nord,3,3,,,,"12,000 ","5 380,36 $","466,92 $","2 500,00 $","1 500,00 $"
Rue des Monts- Par Groupe Lobato,700 000 $,St-Mathieu-De-Beloeil,Montérégie (Rive-Sud Montréal),4,2,1,2,1 500 ,50x100 ,,,,
"1740, rue Principale",700 000 $,Labrecque,Saguenay-Lac-Saint-Jean,2,2,1,1,3 800 ,40 000 ,"5 982,22 $","402,47 $","2 250,00 $","1 423,54 $"
"631, rue Saint-Philippe",700 000 $,Le Sud-Ouest,Montréal / l'Île,5,2,,2,"2,524 ","2,896.57 ","3 494,00 $","450,00 $","1 500,00 $","3 692,61 $"
"2513, rue du Guêpier",700 000 $,Ste-Rose,Laval,3,1,1,2,,"4,220 ","2 846,00 $","788,00 $","2 000,00 $",
"441, route du Moulin",700 000 $,St-Sylvestre,Chaudière-Appalaches,,,,,,1 ,,,,
"7824-7826, avenue Stuart",701 300 $,Villeray / St-Michel / Parc-Extension,Montréal / l'Île,6,3,,,,"2,088.20 ","3 912,97 $","495,66 $",,
"211, avenue Norwood",702 000 $,Pointe-Claire,Montréal / l'Île,4,1,1,3,"1,411 ","7,500 ","3 522,00 $","366,00 $","1 080,00 $","1 500,00 $"
"5055, rue Robert - Par Habitations Dessoleils",709 000 $,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),3,3,1,2,"1,500 ","2,263 ",,,,
"9, rue d'Orsay",710 000 $,Gatineau (Aylmer),Outaouais,4,2,1,2,"1,400 ","3,838 ",,,,
"101, avenue Saint-Jean-Baptiste",710 000 $,Vaudreuil-Dorion,Montérégie Ouest,2,1,,1,"1,625 ","12,396 ","3 383,84 $","424,00 $","700,00 $",
"626-C, avenue de Gaspé Ouest",710 000 $,St-Jean-Port-Joli,Chaudière-Appalaches,5,,,,,"66,465 ","4 233,00 $","348,00 $","5 750,00 $","5 089,00 $"
"4064, rang du Cordon",710 000 $,St-Alexis,Lanaudière,4,2,,2,"1,550 ","100,000 ","2 448,48 $","328,95 $",,
"240, chemin Caroline",710 000 $,St-Michel-Des-Saints,Lanaudière,3,1,,1,1 500 ,37 426 ,"1 952,55 $","236,99 $","2 400,00 $","1 500,00 $"
"19, chemin de la Montagne",710 000 $,La Macaza,Laurentides,3,2,,2,,50 000 ,,,,
"524, rue Denise-Collette",711 000 $,Ste-Julie,Montérégie (Rive-Sud Montréal),3,1,1,2,1 896 ,1 421.91 ,,,,
"49, chemin des Générations",712 500 $,Val-Des-Monts,Outaouais,3,2,1,1,"1,440 ","70,400 ","4 698,84 $","985,00 $","2 360,00 $","1 000,00 $"
"1172, rue Mathieu",715 000 $,St-Jérôme (Bellefeuille),Laurentides,4,2,1,2,2 325 ,9 020 ,"3 652,00 $","295,00 $",,
"2595, rue des Vignes",715 000 $,Terrebonne (Terrebonne),Lanaudière,4,1,1,2,"1,954 ","5,844.8 ","3 739,11 $","340,38 $",,
"79, rue de Lacolle",715 000 $,Granby,Estrie,6,2,1,2,"1,680 ",179.66x197.11 ,"2 669,88 $","274,09 $","2 200,00 $",
"311, rue de Yamaska",715 000 $,Bromont,Estrie,4,1,2,3,"2,052 ","5,042 ","2 727,61 $","258,23 $","1 200,00 $",
"315, rue John-Ryan - Le Sydney - Par Habitation Cousineau",716 900 $,St-Colomban,Laurentides,2,1,,1,"1,292 ","21,959 ",,,,
"1091, chemin du Lac Nord",718 500 $,Ste-Mélanie,Lanaudière,4,2,2,2,"3,381 ","137,068 ","2 144,00 $","940,00 $","2 487,00 $",
"108, rue de Montbrun",719 000 $,Boucherville,Montérégie (Rive-Sud Montréal),5,2,1,,,"9,067 ","2 815,00 $","288,00 $",,
"716, chemin Flamingo",719 000 $,St-Adolphe-D'Howard,Laurentides,3,2,,2,1 792 ,38 288 ,,,,
"24, rue Rainbow",719 000 $,Gore,Laurentides,3,2,1,2,"1,400 ","65,000 ",,,"1 500,00 $","600,00 $"
"16825, avenue Lusignan",719 000 $,St-Hyacinthe,Montérégie (Rive-Sud Montréal),4,2,,2,2 575 ,17 894 ,"3 089,91 $","314,61 $","1 788,84 $",
"268, rue Lucien",719 900 $,St-Philippe,Montérégie (Rive-Sud Montréal),4,2,,1,"1,016 ","5,313.06 ","3 931,56 $","352,84 $","1 799,55 $","1 812,00 $"
"944-946, rue Armand-Daigle",719 900 $,Beloeil,Montérégie (Rive-Sud Montréal),5,2,1,,,3 455.22 ,"4 221,00 $","386,00 $",,
"55, avenue des Grands-Jardins",720 000 $,Gatineau (Gatineau),Outaouais,3,1,1,2,"1,500 ","4,654 ","3 813,58 $","765,91 $",,"444,99 $"
"1515, rue Baker - Par Les Investissement Dumele",720 000 $,Chambly,Montérégie (Rive-Sud Montréal),3,2,,1,"1,059 ","13,875 ",,,,
"2370, rue Fauteux",720 000 $,Chomedey,Laval,3,2,,2,"1,200 ","3,313 ","2 993,00 $","571,00 $","1 900,00 $",
"125, route 132",720 000 $,Ste-Therese-De-Gaspe,Gaspésie-Îles-de-la-Madeleine,15,,,,,42 629.39 ,"5 345,41 $","327,77 $",,
"5, rue de la Crête",720 000 $,Baie-St-Paul,Charlevoix,3,2,,2,"1,558 ","43,065.33 ",,,,
"7, rue Laure-Conan",720 000 $,Baie-St-Paul,Charlevoix,3,2,,2,"1,560 ","43,245.08 ",,,,
"428, rue des Frênes",720 000 $,Les Cèdres,Montérégie Ouest,3,1,1,2,1 885 ,15 440 ,"3 464,00 $","355,33 $","230,00 $",
"1015-1017, rue Armand-Daigle",720 000 $,Beloeil,Montérégie (Rive-Sud Montréal),5,2,1,,,3 229 ,,,,
"409, rue Geoffrion - Projet BéaCité",721 809 $,Ste-Julie,Montérégie (Rive-Sud Montréal),3,1,1,2,"2,018 ",,,,,
"1508-635, rue Saint-Maurice",724 000 $,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,2,2,,1,989 ,,"4 544,00 $","986,00 $",,"415,00 $"
"161, rue Marguerite-Bertaud",724 000 $,Boucherville,Montérégie (Rive-Sud Montréal),2,1,1,2,,,,,,
"5740-5742, rue Viger - Par SMF Construction",724 337 $,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),4,2,1,,,40.6x70 ,,,,
"35, rue Victor - Le Alto avec garage double - Par Construction Cousineau",724 900 $,St-Hippolyte,Laurentides,3,1,1,2,"1,838 ","33,000 ",,,,
"1493, rue Deyglun",725 000 $,Chomedey,Laval,3,1,1,1,"2,000 ","6,000 ","3 099,15 $","729,07 $",,
"138, rang Sainte-Catherine",725 000 $,Yamaska,Montérégie (Rive-Sud Montréal),,,,,,"2,152,905.87 ",,,,
"2149, chemin de la Baie-Des-Trèfles",725 000 $,Jonquière (Lac-Kénogami),Saguenay-Lac-Saint-Jean,2,2,,2,"1,560 ","51,344 ","6 000,00 $","450,00 $","3 000,00 $","1 400,00 $"
"123, rue Real-Larocque",725 000 $,Pointe-Fortune,Montérégie Ouest,2,2,,1,1 644 ,34 004.2 ,"2 850,24 $","308,93 $","4 014,60 $","1 062,00 $"
"27, chemin de la Baie-Quesnel",725 000 $,Rigaud,Montérégie Ouest,4,2,,1,"1,119 ","32,000 ","2 670,00 $","452,00 $","2 600,00 $","2 300,00 $"
"773, rue Commercial Nord",725 000 $,Témiscouata-sur-le-Lac,Bas-Saint-Laurent,9,,,,,"9,859.74 ","8 894,00 $","252,00 $","9 000,00 $","13 000,00 $"
"153, 2e Avenue",725 000 $,Lac-Etchemin,Chaudière-Appalaches,,,,,,"14,305.24 ","8 200,00 $","400,00 $",,
"645, boulevard l'Assomption Ouest",725 000 $,St-Charles-Borromée,Lanaudière,,,,,,"15,800 ","4 500,00 $","150,00 $",,
"1049, rue Bourget",725 000 $,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),4,3,1,2,1 961 ,4 258 ,"3 707,62 $","391,78 $","2 417,76 $","2 412,00 $"
"516, chemin des Grands-Ducs",725 000 $,Val-d'Or,Abitibi-Témiscamingue,3,1,1,2,"1,920 ","48,000 ",,,"3 600,00 $",
"565, avenue de Buckingham",725 000 $,Gatineau (Buckingham),Outaouais,,,,,,45 957 ,"15 102,00 $","515,00 $","9 300,00 $","5 000,00 $"
"100, rue de la Rivière",725 000 $,Boischatel,Québec Rive-Nord,5,2,1,2,1 722.23 ,7 753.25 ,"4 585,00 $","430,00 $",,
"1014, rue des Libellules",725 000 $,St-Lazare,Montérégie Ouest,4,2,1,2,1 714.69 ,5 224.8 ,"1 352,00 $","293,00 $",,
"333, chemin de la Côte",725 000 $,Val-Des-Monts (St-Pierre-de-Wakefield),Outaouais,3,2,,3,"1,909.52 ","43,560 ","3 861,75 $","351,74 $","1 800,00 $","1 296,01 $"
"2162, rue Mousseau",725 000 $,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,4,1,1,2,"1,709 ","2,250 ","3 002,62 $","351,85 $","1 219,77 $",
"716, chemin du Rivage",725 000 $,St-Antoine-sur-Richelieu,Montérégie (Rive-Sud Montréal),3,2,1,2,"2,000 ","57,000 ","2 898,49 $","346,00 $","3 819,26 $","1 328,25 $"
"408-785, rue Léonard",725 000 $,Ste-Foy,Québec Rive-Nord,3,2,,2,1 807 ,,"4 051,53 $","431,44 $","633,15 $","250,00 $"
"1566, rue Frédéric-Courtemanche",725 000 $,Chambly,Montérégie (Rive-Sud Montréal),4,2,1,2,"1,344 ","4,500 ","3 278,00 $","359,00 $","3 282,00 $",
"5, rue Charles Allard",725 000 $,Chambly,Montérégie (Rive-Sud Montréal),4,1,1,2,"1,320 ","6,000 ","3 092,00 $","383,00 $","2 450,00 $",
"4643, avenue de l'Esplanade",725 000 $,Le Plateau-Mont-Royal,Montréal / l'Île,2,1,,1,975 ,2 290.56 ,"3 262,00 $","393,69 $","610,15 $","366,96 $"
"175, rue des Sucres",725 000 $,Gatineau (Gatineau),Outaouais,5,2,1,2,2 350 ,6 990 ,"6 638,00 $","973,00 $",,
PHASE 1 - Condos Baldwin - boulevard Saint-Jean - Unité 5½ - Par Construction Métrocité Inc.,726 000 $,Dollard-Des-Ormeaux,Montréal / l'Île,3,1,,1,,,,,,
"2159, boulevard Shevchenko",727 000 $,LaSalle,Montréal / l'Île,3,1,1,2,"1,628 ",22x109 ,"3 394,60 $","442,61 $",,
"133, rue Josée",728 000 $,Shefford,Estrie,3,2,,2,"2,165 ","41,500 ","2 460,00 $","276,00 $","985,00 $","900,00 $"
"45, place de la Volière",729 000 $,Terrebonne (Terrebonne),Lanaudière,3,2,,1,756 ,"6,090 ","4 427,17 $","357,83 $","1 772,29 $",
"210, rue de Provence",729 000 $,Rimouski (Rimouski),Bas-Saint-Laurent,4,2,1,2,"2,411 ","15,638.89 ","4 319,21 $","1 293,35 $","1 688,25 $",
"1521, route Tadoussac",729 000 $,St-Fulgence,Saguenay-Lac-Saint-Jean,4,2,,2,"1,591 ","171,232.29 ","1 871,59 $","516,00 $","500,00 $","1 205,00 $"
"2640, chemin Hemming",729 000 $,Drummondville (St-Charles-De-Drummond),Centre-du-Québec,2,3,,2,"2,500 ","43,072.86 ",,,,
"176, rue de Langloiserie",729 000 $,Rosemère,Laurentides,3,3,1,2,1 345.49 ,3 799.66 ,"2 524,00 $","387,62 $","1 197,36 $",
"229-231, 90e Avenue",729 000 $,LaSalle,Montréal / l'Île,3,1,1,,,27.69 ,"3 164,00 $","389,00 $",,
"14195-14199, rue Ducharme",729 000 $,Mirabel (St-Janvier),Laurentides,3,1,1,,,"5,564 ","2 676,04 $","402,94 $",,"766,00 $"
"31, chemin du Lac-Clair",729 000 $,Val-Des-Monts (Perkins),Outaouais,3,1,1,2,"1,852 ","61,855.20 ",,,,
"4409, boulevard Pierre-Le Gardeur",729 000 $,Terrebonne (Lachenaie),Lanaudière,5,2,1,2,"2,180 ","5,252.79 ","4 328,00 $","415,00 $","2 981,00 $","1 667,00 $"
"1738, place du Chantelys",729 000 $,St-Lazare,Montérégie Ouest,5,2,1,2,"2,200 ","32,000 ","3 000,00 $","1 000,00 $","3 500,00 $",
"87, 43e Avenue",729 000 $,Ste-Marthe-Sur-Le-Lac,Laurentides,3,1,1,3,"1,333 ","7,173.07 ","2 990,40 $","327,39 $","2 553,70 $",
"1170, chemin des Hauteurs",729 000 $,Ste-Adèle,Laurentides,3,1,1,2,"1,981 ","85,838 ","3 735,00 $","350,00 $","1 704,00 $","1 800,00 $"
"1885, rue des Hautes-Terres",729 000 $,Beauport,Québec Rive-Nord,4,2,1,2,1 600 ,43 000 ,"5 000,00 $","537,54 $","4 302,24 $","1 300,00 $"
"40, chemin de Brisach",729 000 $,Lorraine,Laurentides,,,,,,"11,851 ",,,,
"84, rue des Orioles",729 000 $,Orford,Estrie,4,1,1,1,"1,444 ","8,033.11 ","2 800,00 $","280,00 $","1 887,00 $",
"724, chemin de la Fourche",729 000 $,Ste-Dorothée (Îles-Laval),Laval,3,1,1,2,2 250 ,10 000 ,"3 600,00 $",,"3 000,00 $",
"39, 4e Avenue Sud",729 000 $,Pierrefonds / Roxboro,Montréal / l'Île,4,3,1,2,"2,058 ","6,523 ","3 400,00 $","380,00 $","2 500,00 $",
"575, rue Boisvert",729 900 $,Gatineau (Aylmer),Outaouais,4,2,1,1,"2,100 ","43,561.55 ",,,,
"101, rue du Marigot",729 900 $,Gatineau (Aylmer),Outaouais,4,2,1,2,1 570 ,5 005.22 ,"5 000,00 $","353,00 $","1 000,00 $","631,00 $"
"374, chemin de la Côte Sud",729 900 $,Boisbriand,Laurentides,3,2,1,2,1 250 ,38 000 ,"3 800,00 $","381,03 $",,
"39, rue Poirier",729 900 $,Gatineau (Gatineau),Outaouais,4,3,1,2,2 481 ,19 638.75 ,"4 887,53 $","387,89 $","4 139,74 $",
"5415, rue Mailhot",729 900 $,Drummondville (Drummondville),Centre-du-Québec,4,2,1,2,"3,080 ","15,000 ","4 950,00 $","510,00 $",,
"2126, boulevard McNamara",729 900 $,Chomedey,Laval,4,2,1,1,1 141 ,5 400.2 ,"3 031,22 $","322,00 $","1 895,00 $",
"620, rue des Rochers",729 999 $,Boischatel,Québec Rive-Nord,4,2,1,2,2 016 ,67.36x104.76 ,,,,
"6985, 25e Avenue",730 000 $,Rosemont / La Petite Patrie,Montréal / l'Île,7,3,,,,"2,036.53 ","3 962,25 $","500,00 $",,
"1, rue Auclair",730 000 $,Marieville,Montérégie (Rive-Sud Montréal),6,4,2,2,"3,350 ","20,793.72 ",,,,
"A-B-C-708, boulevard le Bourg-Neuf",730 000 $,Repentigny (Le Gardeur),Lanaudière,6,3,,,,"6,440 ","5 371,07 $","474,83 $",,"1 465,00 $"
"8, chemin des Bourgeons",730 000 $,Val-Des-Monts (Perkins),Outaouais,3,2,,2,1 545 ,247x187 ,"3 325,76 $","280,10 $","1 380,49 $","2 861,59 $"
